iter	Passed	Remaining
0	203	203081
1	352	176096
2	500	166229
3	648	161565
4	783	155831
5	927	153659
6	1066	151311
7	1221	151461
8	1364	150242
9	1509	149480
10	1662	149467
11	1791	147489
12	1937	147117
13	2089	147160
14	2228	146357
15	2373	145953
16	2522	145860
17	2655	144887
18	2795	144358
19	2944	144304
20	3085	143855
21	3229	143553
22	3367	143036
23	3501	142409
24	3668	143078
25	3800	142360
26	3955	142561
27	4081	141688
28	4230	141659
29	4361	141013
30	4521	141339
31	4660	140979
32	4812	141009
33	4945	140509
34	5078	140034
35	5216	139679
36	5351	139296
37	5490	139003
38	5644	139081
39	5777	138653
40	5911	138276
41	6047	137951
42	6186	137675
43	6319	137306
44	6465	137208
45	6594	136756
46	6733	136529
47	6858	136022
48	7000	135862
49	7134	135550
50	7268	135243
51	7411	135117
52	7546	134836
53	7678	134523
54	7824	134446
55	7957	134146
56	8091	133865
57	8217	133461
58	8335	132936
59	8475	132775
60	8603	132442
61	8728	132050
62	8854	131692
63	8984	131403
64	9121	131202
65	9254	130963
66	9401	130923
67	9535	130696
68	9660	130352
69	9790	130075
70	9922	129831
71	10053	129572
72	10200	129535
73	10325	129203
74	10454	128944
75	10575	128579
76	10707	128356
77	10852	128277
78	10992	128149
79	11113	127800
80	11249	127636
81	11386	127474
82	11526	127350
83	11658	127136
84	11795	126976
85	11921	126701
86	12066	126631
87	12203	126471
88	12333	126249
89	12462	126012
90	12618	126042
91	12738	125725
92	12870	125521
93	13007	125368
94	13151	125284
95	13273	124988
96	13395	124706
97	13527	124510
98	13650	124232
99	13781	124037
100	13912	123836
101	14047	123674
102	14182	123514
103	14316	123340
104	14448	123157
105	14570	122884
106	14725	122893
107	14857	122713
108	14990	122541
109	15123	122363
110	15265	122258
111	15391	122032
112	15520	121826
113	15647	121608
114	15786	121486
115	15927	121374
116	16058	121195
117	16175	120905
118	16320	120825
119	16456	120681
120	16596	120564
121	16743	120494
122	16890	120430
123	17022	120252
124	17153	120073
125	17280	119863
126	17424	119778
127	17543	119516
128	17682	119388
129	17815	119228
130	17948	119059
131	18078	118879
132	18211	118716
133	18348	118577
134	18483	118432
